wavelength,Grass,Conifer,Deciduous,Snow,Soil,Water,Conrete
1.98,6.5224,6.21,8.794,0.56,46.9197,1.2875,36.47
2,7.3972,7.119,9.911,0.54,48.2835,1.257,37.46
2.02,8.7469,8.072,11.064,0.57,48.709,1.2265,38.28
2.04,9.7152,8.736,11.916,0.66,49.1237,1.196,38.80
2.06,10.898,9.289,12.837,0.79,49.1021,0,39.07
2.08,12.315,10.168,13.641,1,49.2333,0,39.32
2.1,13.624,10.579,14.458,1.37,49.2946,0,39.53
2.12,14.881,11.35,14.937,2.12,49.441,0,39.77
2.14,15.76,11.957,15.518,3.19,49.0658,0,39.79
2.16,16.431,12.248,16.294,4.41,48.3011,0,39.43
2.18,16.902,12.725,16.861,5.7,47.3109,0,38.91
2.2,17.09,12.705,17.014,7.05,45.8474,0,38.21
2.22,17.387,12.163,16.479,8.67,46.527,0,37.70
2.24,17.091,11.832,15.877,9.64,47.5165,0,37.35
2.26,16.356,11.194,15.921,9.14,47.5165,0,36.74
2.28,15.572,10.547,14.751,7.32,47.5275,0,36.28
2.3,14.609,9.616,13.464,5.23,46.9264,0,35.90
2.32,13.389,8.797,12.174,3.71,46.1239,0,35.74
2.34,12.382,8.123,11.219,2.83,45,0,34.97
2.36,11.704,7.258,10.066,2.35,44.8917,0,34.82
2.38,10.618,6.343,9.152,2.12,44.6571,0,34.51
2.4,9.7125,5.554,8.185,1.97,44.4152,0,33.58
2.42,8.753,4.886,7.142,1.88,43.9193,0,32.69
2.44,7.9555,4.535,6.667,1.81,42.8474,0,31.57
2.46,6.7907,4.393,5.795,1.68,42.3148,0,30.62
2.48,6.236,4.3,6.238,1.58,41.714,0,29.87
2.5,6.2297,4.038,5.851,1.5,41.4791,0,29.66
